word	tags	comments
ABATE	IAV Neg SUPV Decr Psv 	
ABDICATE	IAV Neg SUPV Finish Weak Psv Subm 	
ABHOR	SV Neg SUPV Hostile Psv Arousal 	
ABJECT	IPadj Neg Modif Psv Subm Weak Vice 	
ABOUND	IAV Pos SUPV Incr Psv 	
ABSENT	IndAdj Neg Modif Weak Psv Fail 	
ABSENT	Modif Psv Space 	
ABSENT	DAV SUPV Travl Psv 	
ABSENT-MINDED	IndAdj Neg Modif Weak Psv Fail 	
ACCEPT	IAV Pos SUPV Intrel Subm Pstv Psv 	verb: To take, receive or accede to something 
ACCEPTANCE	Pos Noun Affil Pstv Psv Intrel 	
ACCUSTOM	Modif Virtue Psv Undrst 	
ACCUSTOM	IAV SUPV Psv Persist 	
ACHE	SV Neg SUPV Pain Psv 	
ACRIMONY	Neg Noun Hostile Psv Arousal Vice 	
ADHERE	IAV SUPV Stay Psv 	
ADJOURNMENT	Noun Ritual Psv 	
ADJUSTMENT	Pos Noun Virtue Pstv Psv 	
ADMIRE	SV Pos SUPV Affil Subm Pstv Psv Pleasur 	
ADMISSIBLE	Modif Comform Subm Psv 	
ADMISSION	Noun COM Comform Subm Psv 	
ADMIT	IAV Pos SUPV Subm Pstv Weak Psv Comform 	63% verb: To acknowledge, confess, agree 
ADMIT	DAV Pos SUPV Intrel Power Pstv Psv 	33% verb: To grant entry, membership or access to something 
ADMIT	Pos LY Ovrst Comform Subm Pstv Weak Psv 	3% adv: "Admittedly"--adverbial form of sense 1 
ADOPT	Modif Affil Psv Intrel 	4% adj: "Adopted"--chosen, accepted 
ADVANCE	Pos Modif Virtue Pstv Psv 	20% adj: "Advanced"--forward, in front, progressive 
AFFLICTION	Neg Noun Ngtv Weak Vice Psv 	
AFRAID	Modif EMOT Subm Psv PFREQ Pain 	adjective: Feeling fear, filled with apprehension 
AGONIZE	SV Neg SUPV Pain Psv 	
AGREE	Modif Comform Affil Psv 	4% adj: "Agreed"--settled or determined by mutual consent, as "the agreed  price"; of the same opinion, as "we are agreed" 
AIL	SV Neg SUPV Pain Psv 	
AIMLESS	IndAdj Neg Modif Subm Psv Fail 	
ALIBI	Neg Noun Comform Subm Psv Weak 	
ALLOW	IAV Pos SUPV Intrel Power Pstv Psv PFREQ 	97% verb: Permit 
ALOOF	IPadj Neg Modif Undrst Feeling Psv 	
ANGUISH	Neg Noun EMOT Hostile Ngtv Psv Pain 	
ANTICIPATE	SV SUPV Psv Arousal 	
ANTICIPATION	Noun Psv Arousal 	
ANXIETY	Neg Noun EMOT Ngtv Weak Psv Pain 	noun: Mental distress or uneasiness caused by apprehension of danger or misfortune. 
ANXIOUS	Neg Modif EMOT Ngtv Weak Psv Pain 	21% adjective: Apprehensive, worried 
ANXIOUS	Neg Modif Ngtv Weak Psv Pain 	13% adverb: "Anxiously"--nervously, excitedly 
ANXIOUSNESS	Neg Noun EMOT Ngtv Weak Psv Pain 	
APATHETIC	IndAdj Neg Modif Weak Undrst Feeling Psv 	
APATHY	Neg Noun Vice Weak Undrst Psv Feeling 	
APPEAL	Noun COM Comform Subm Psv Affil 	38% noun-adj: A request for a decision, help, sympathy, etc. (6), a quality  arousing a favorable response (6) 
APPEAL	IAV SUPV Legal Subm Psv Affil Intrel 	59% verb: To request a decision, help, sympathy, etc. (10), to arouse  a favorable response (9) 
APPEAL	Pos Modif Affil Psv Pleasur Pstv 	3% adj: "Appealing"--arousing a favorable response 
APPEAR	IAV SUPV VERB LINK Psv Percv Undrst 	64% verb: To seem 
APPEAR	DAV SUPV Percv Psv 	36% verb: To physically emerge, come into sight 
APPEARANCE	Noun Percv Psv 	
APPRECIATE	SV Pos SUPV Subm Pstv Psv Arousal Affil 	verb: To be aware of, to be grateful 
APPRECIATION	Pos Noun Pleasur Pstv Psv Affil 	
APPREHENSIVE	IPadj Neg Modif Psv Emot Pain Weak 	
APPROACH	Pos Noun Pstv Psv Means Actv 	34% noun: The method used or steps taken in setting about a task, problem;  a coming toward 
ASHAMED	Neg Modif EMOT Pain Ngtv Weak Psv 	
ASLEEP	LY Weak Psv Natpro 	adj-adv: In or into a state of sleep 
ASSIMILATE	IAV SUPV Rel Psv 	
ASSOCIATE	Pos Modif Pstv Psv Rel 	7% adj: "Associated"--connected with 
ASSUME	IAV SUPV Psv Solve 	56% verb: To take for granted, suppose, postulate 
ASSUMPTION	Noun Know Psv 	
ASTRAY	Neg Modif Weak Psv Fail 	
ASUNDER	IndAdj Neg Modif Weak Psv Fail 	
ATROPHY	IAV Neg SUPV Decr Ngtv Weak Psv 	
ATTENTION	Noun Percv Psv Subm 	noun: The act or faculty of attending, by directing the mind to an object 
ATTENTIVE	Pos Modif Percv Pstv Psv Subm 	
ATTEST	IAV SUPV Subm Psv Comform 	
AVAIL	IAV SUPV Try Strng Psv 	
AVERSION	Neg Noun Negate Psv Hostile Arousal 	
AVERT	IAV Neg SUPV Intrel Hostile Weak Psv 	
AVOID	IAV Neg SUPV Intrel Hostile Ngtv Weak Psv 	verb: To keep away from, keep clear of 
AVOIDANCE	Neg Noun Hostile Ngtv Weak Psv Intrel 	
AWAIT	IAV SUPV Stay Psv 	
AWARE	IndAdj Pos Modif Percv Know Strng Psv 	
AWARENESS	Pos Noun ABS Abs* Percv Pstv Strng Psv 	
BALK	IAV Neg SUPV Psv Weak Fail 	
BANE	Neg Noun Weak Vice Psv 	
BARREN	IndAdj Neg Modif Psv Weak Quan 	
BASHFUL	IPadj Neg Modif Emot Weak Psv Arousal 	
BEAT	Neg Modif Vice Subm Ngtv Weak Psv 	2% adj: "Beaten"--hammered, trodden, thrashed 
BECAME	IAV SUPV VERB VB ED Psv Incr 	verb: Came, changed or grew to be. 
BECOME	IAV SUPV VERB VB Psv Incr 	verb: To come or grow to be 
BEEN	SV SUPV VERB BE ED Psv 	47% verb: Past participle of be, used as copula 
BEFIT	IAV Pos SUPV Psv Eval 	
BEFITTING	IndAdj Pos Modif Psv Eval 	
BEING	SV SUPV VERB BE Psv PFREQ 	88% verb: Present participle of 'be' 
BELIEF	Noun ABS Abs* Doctr Psv 	noun: The idea that something is true or real, faith, confidence 
BELIEVE	SV SUPV Solve Psv 	68% verb: To be of the opinion that--to think or consider 
BELIEVE	IAV SUPV Psv Intrel 	12% verb: To have specific confidence that someone is making a true statement  or that a statement is true 
BELIEVE	SV SUPV Solve Subm Psv 	20% idiom-verb: "Believe in"--to be strongly (religiously) persuaded of  the truth, value, or existence of 
BELIEVER	Noun HU Relig Psv Role Subm 	
BELONG	IAV SUPV Intrel Subm Weak Psv PFREQ 	98% verb: To be in relation to something as owned or as a member or inhabitant 
BEND	DAV SUPV Subm Weak Psv Rel 	
BENIGN	Pos Modif Pstv Psv Virtue Power Affil 	
BENT	Modif Qual Weak Psv 	
BEREAVEMENT	Neg Noun Vice Weak Psv 	
BITTER	Neg Modif EMOT EVAL Pain Ngtv Psv Hostile 	
BITTERNESS	Neg Noun EMOT Pain Ngtv Psv 	
BLEED	Modif Weak Psv Natpro 	
BLEED	DAV SUPV Weak Psv Natpro 	
BLESS	IAV Pos SUPV Intrel Affil Relig Pstv Psv 	32% verb: To consecrate, favor or endow, make happy or prosperous 
BLINK	Noun Psv Natpro 	
BLINK	DAV SUPV Psv Natpro 	
BLOCK	Neg Noun Space Ngtv Psv Strng 	72% noun-adj: A barrier, solid mass, area, unit; street block (1) 
BONDAGE	Neg Noun Vice Subm Ngtv Weak Psv 	
BORE	Neg Modif Vice Ngtv Psv 	50% adj: "Bored"--not interested, frustrated 
BORN	Modif Psv Natpro 	adjective: Brought forth by birth 
BOUND	Neg Modif Vice Ngtv Weak Psv 	30% adj: Limited, tied, 
BOW	Modif Weak Psv Vice 	6% adj: "Bowed"--bent or stooped, overwhelmed 
BREAK	IAV Neg SUPV Fail Ngtv Weak Psv 	8% verb: "Break down"--to collapse, go out of working order 
BREAKDOWN	IAV Neg SUPV Psv Weak Fail 	
BRISTLE	IAV Neg SUPV Emot Arousal Hostile Psv 	
BROKE	Neg Modif Vice Ngtv Psv 	5% adj: "Broken" 
BROKE	IAV Neg SUPV ED Fail Ngtv Weak Psv 	3% verb: "Broke (broken) down"--collapsed, went out of working order 
BUCKLE	IAV Neg SUPV Weak Subm Fail Psv 	
BURN	Neg Modif Finish Ngtv Psv 	2% adj: "Burned," "burnt"--consumed or injured by fire 
