word	tags	comments
ABANDON	IAV Neg SUPV Fail Ngtv Weak 	
ABANDONMENT	Neg Noun Fail Weak 	
ABDICATE	IAV Neg SUPV Finish Weak Psv Subm 	
ABJECT	IPadj Neg Modif Psv Subm Weak Vice 	
ABSCOND	IAV Neg SUPV Travel Subm Weak Hostile Actv 	
ABSENCE	Noun Know Weak 	
ABSENCE	Neg Noun Weak Fail 	
ABSENT	IndAdj Neg Modif Weak Psv Fail 	
ABSENT-MINDED	IndAdj Neg Modif Weak Psv Fail 	
ABSENTEE	Neg Noun Hostile Weak Fail Intrel Vice 	
ADDICT	Neg Noun Need Weak HU 	
ADDICTION	Neg Noun Need Weak Ovrst 	
ADMIT	IAV Pos SUPV Subm Pstv Weak Psv Comform 	63% verb: To acknowledge, confess, agree 
ADMIT	Pos LY Ovrst Comform Subm Pstv Weak Psv 	3% adv: "Admittedly"--adverbial form of sense 1 
AFFLICTION	Neg Noun Ngtv Weak Vice Psv 	
AFRAID	Neg LY Negate Ngtv Weak 	1% idiom: "Afraid not" 
ALIBI	Neg Noun Comform Subm Psv Weak 	
ALLEGE	IAV Neg SUPV Comform Weak Undrst 	
ALONE	LY Space Weak 	76% adj-adv: Apart from others, solitary, undisturbed 
AMATEUR	Noun HU Weak Role 	
AMBIVALENT	Neg Modif EMOT Ngtv Weak Pain 	
ANCIENT	Modif Time* Weak 	
ANTIQUATED	IPadj Neg Modif Weak Time 	
ANXIETY	Neg Noun EMOT Ngtv Weak Psv Pain 	noun: Mental distress or uneasiness caused by apprehension of danger or misfortune. 
ANXIOUS	Neg Modif EMOT Ngtv Weak Psv Pain 	21% adjective: Apprehensive, worried 
ANXIOUS	Neg Modif Ngtv Weak Psv Pain 	13% adverb: "Anxiously"--nervously, excitedly 
ANXIOUSNESS	Neg Noun EMOT Ngtv Weak Psv Pain 	
APART	LY Space Weak 	54% adv-adj: Spatial, away from-'he went apart from the rest', divided,  separated--'his feet were apart,' 'they find themselves further apart  every day.' (3 abstract) 
APATHETIC	IndAdj Neg Modif Weak Undrst Feeling Psv 	
APATHY	Neg Noun Vice Weak Undrst Psv Feeling 	
APOLOGETIC	IPadj Modif Pain Weak Subm Intrel 	
APOLOGIZE	IAV SUPV Subm Other Weak Intrel 	
APOLOGY	Noun COM Comform Affil Subm Weak 	
APPREHENSIVE	IPadj Neg Modif Psv Emot Pain Weak 	
ASHAMED	Neg Modif EMOT Pain Ngtv Weak Psv 	
ASLEEP	LY Weak Psv Natpro 	adj-adv: In or into a state of sleep 
ASTRAY	Neg Modif Weak Psv Fail 	
ASUNDER	IndAdj Neg Modif Weak Psv Fail 	
ATROPHY	IAV Neg SUPV Decr Ngtv Weak Psv 	
AVERAGE	Modif EVAL Quan Weak 	65% adj: Constituting a numerical average, typical, ordinary 
AVERT	IAV Neg SUPV Intrel Hostile Weak Psv 	
AVOID	IAV Neg SUPV Intrel Hostile Ngtv Weak Psv 	verb: To keep away from, keep clear of 
AVOIDANCE	Neg Noun Hostile Ngtv Weak Psv Intrel 	
AWKWARD	Neg Modif EVAL Vice Ngtv Weak 	
AWKWARDNESS	Neg Noun Vice Weak 	
BABY	Noun HU KIN Nonadlt Weak PFREQ Role 	95% noun-adj: An infant 
BACKWARD	Neg LY ECON Ngtv Weak Space 	
BACKWARDNESS	Neg Noun ECON Ngtv Weak Vice 	
BAIL	IAV Neg SUPV Fail Weak Actv 	
BALK	IAV Neg SUPV Psv Weak Fail 	
BANE	Neg Noun Weak Vice Psv 	
BANTER	Noun COM Comform Weak 	
BANTER	IAV SUPV Weak Comform 	
BARREN	IndAdj Neg Modif Psv Weak Quan 	
BASHFUL	IPadj Neg Modif Emot Weak Psv Arousal 	
BEAT	Neg Modif Vice Subm Ngtv Weak Psv 	2% adj: "Beaten"--hammered, trodden, thrashed 
BEG	IAV Neg SUPV Intrel Subm Ngtv Weak Actv 	
BEGGAR	Neg Noun HU Weak Econ 	
BELONG	IAV SUPV Intrel Subm Weak Psv PFREQ 	98% verb: To be in relation to something as owned or as a member or inhabitant 
BEND	DAV SUPV Subm Weak Psv Rel 	
BENT	Modif Qual Weak Psv 	
BEREAVEMENT	Neg Noun Vice Weak Psv 	
BEREFT	Neg Noun HU Weak Role 	
BESEECH	IAV Neg SUPV Intrel Subm Weak Actv 	
BIT	Noun Quan Undrst Weak PFREQ 	93% noun-adv: A small quantity; a role or routine (2) (rarely, mouthpiece  of a bridle, tool (0)) 
BLAND	IndAdj Neg Modif Weak 	
BLEED	Modif Weak Psv Natpro 	
BLEED	DAV SUPV Weak Psv Natpro 	
BLEMISH	Neg Noun Weak Vice 	
BLIND	Neg Noun HU Ngtv Weak Role 	71% noun-adj: (those who are) without sight; without understanding or control (2) 
BLIND	Neg Modif Vice Ngtv Weak 	14% adv: "Blindly" 
BLINDNESS	IndAdj Neg Modif Weak Vice 	
BLOCKHEAD	IndAdj Neg Modif Weak Fail Vice 	
BLOODSHED	Neg Noun Hostile Pain Weak 	
BLUNDER	Neg Noun Ngtv Weak Actv Fail 	
BLUR	IAV Neg SUPV Undrst Weak Comform Actv 	
BONDAGE	Neg Noun Vice Subm Ngtv Weak Psv 	
BORROW	IAV SUPV Exch Econ* Weak 	
BOUND	Neg Modif Vice Ngtv Weak Psv 	30% adj: Limited, tied, 
BOW	DAV SUPV Subm Weak Comform 	6% verb: To bend forward, usually in formal acknowledgement, submission or greeting 
BOW	Modif Weak Psv Vice 	6% adj: "Bowed"--bent or stooped, overwhelmed 
BREAK	IAV Neg SUPV Fail Ngtv Weak Psv 	8% verb: "Break down"--to collapse, go out of working order 
BREAKDOWN	IAV Neg SUPV Psv Weak Fail 	
BRITTLE	IndAdj Neg Modif Weak 	
BROKE	IAV Neg SUPV ED Fail Ngtv Weak Psv 	3% verb: "Broke (broken) down"--collapsed, went out of working order 
BROKEN-HEARTED	IPadj Neg Modif Weak Pain Emot Intrel 	
BUCKLE	IAV Neg SUPV Weak Subm Fail Psv 	
BUM	Neg Noun Weak Econ 	
BUNGLE	IAV Neg SUPV Undrst Weak 	
BURDEN	Neg Noun Vice Ngtv Weak 	
BURDEN	IAV Neg SUPV Work Ngtv Weak 	
CAN'T	SV SUPV VERB MOD NEG Weak Negate 	verb: Contraction of "cannot" 
CANNOT	SV Negate SUPV VERB MOD NEG Weak 	verb: A form of can not. 
CAPITULATE	IAV Neg SUPV Psv Subm Weak Fail 	
